id,api_id,duration,lap_id,local_timestamp,number,session_entry_id
40,pitstop_zBkToWN0,00:00:24.865,276606,17:31:11,1,27751
41,pitstop_jnaip1Jd,00:00:25.021,276610,17:05:52,1,27753
42,pitstop_fGiJOovO,00:00:23.988,276626,17:32:08,2,27753
43,pitstop_lxQA2aj9,00:00:24.064,276657,17:29:06,1,27759
44,pitstop_YAqvhctY,00:00:24.192,276673,17:54:21,2,27759
45,pitstop_7Cy0f0LL,00:00:23.438,276725,17:40:27,1,27763
46,pitstop_IBYmQRJp,00:00:23.019,276777,16:26:17,1,27770
47,pitstop_g1R7DSFv,00:00:21.893,276789,16:47:27,2,27770
48,pitstop_kcvZ2PJA,00:00:22.313,276805,17:15:08,3,27770
49,pitstop_wv2sel9K,00:00:22.4,276836,16:26:29,1,27774
50,pitstop_DMtjTEsm,00:00:22.471,276846,16:44:11,2,27774
51,pitstop_50fCSB2b,00:00:22.483,276861,17:10:13,3,27774
52,pitstop_IPAO6bl7,00:00:23.9,276895,16:26:28,1,27778
53,pitstop_RLqZk6D1,00:00:23.221,276908,16:49:31,2,27778
54,pitstop_2gdQcJIl,00:00:22.602,276921,17:12:09,3,27778
55,pitstop_gphLszMj,00:00:22.572,276951,16:21:21,1,27782
56,pitstop_vtvdZw5E,00:00:21.991,276963,16:42:37,2,27782
57,pitstop_MBN4hFCu,00:00:22.069,276973,17:00:01,3,27782
58,pitstop_bFPudrmK,00:00:22.161,276984,17:19:10,4,27782
59,pitstop_crmaNyO4,00:00:29.224,277013,16:26:30,1,27786
60,pitstop_SWvTZF1t,00:00:22.541,277027,16:51:17,2,27786
61,pitstop_mN7JqWEY,00:00:22.893,277038,17:10:28,3,27786
62,pitstop_LJwvJdjb,00:00:23.152,277073,16:28:15,1,27790
63,pitstop_FJRmS2tb,00:00:23.894,277085,16:49:19,2,27790
64,pitstop_KRLk3a4I,00:00:23.812,277100,17:15:25,3,27790
65,pitstop_p7kWEGVj,00:00:27.182,277105,17:24:24,4,27790
66,pitstop_oR7NrDPd,00:00:23.28,277135,16:33:53,1,27794
67,pitstop_wIdTcnSq,00:00:23.442,277154,17:07:26,2,27794
68,pitstop_CZEDI25U,00:00:22.552,277189,16:24:40,1,27798
69,pitstop_aAT32kRp,00:00:22.611,277201,16:45:48,2,27798
70,pitstop_M9WhfnFq,00:00:25.382,277214,17:08:28,3,27798
71,pitstop_ycvlq7fI,00:00:22.466,277229,17:34:48,4,27798
72,pitstop_Ep4wCGQZ,00:00:22.576,277250,16:28:34,1,27802
73,pitstop_ag8uC41n,00:00:22.261,277264,16:53:26,2,27802
74,pitstop_FXGHu8yN,00:00:22.227,277278,17:18:08,3,27802
75,pitstop_KqcLRnAu,00:00:22.773,277305,16:23:16,1,27805
76,pitstop_93c5d0MY,00:00:22.419,277318,16:46:20,2,27805
77,pitstop_7MvVpJfN,00:00:23.977,277331,17:09:21,3,27805
78,pitstop_GZx0HJui,00:00:31.694,277355,16:09:07,1,27808
79,pitstop_Ss7jOh57,00:00:22.046,277368,16:32:31,2,27808
80,pitstop_t9uRyYyM,00:00:22.55,277384,17:00:56,3,27808
81,pitstop_CJHbKaLG,00:00:24.967,277425,16:30:37,1,27811
82,pitstop_xFJx1rJ7,00:00:22.577,277439,16:55:28,2,27811
83,pitstop_0AKB2mUJ,00:00:22.526,277450,17:15:05,3,27811
84,pitstop_ISV2YOqn,00:00:23.28,277483,16:30:23,1,27815
85,pitstop_ARHYuUv7,00:00:29.843,277488,16:39:30,2,27815
86,pitstop_yXdptx8D,00:00:27.439,277500,17:01:03,3,27815
87,pitstop_NMWPWpUh,00:00:23.584,277541,16:32:25,1,27818
88,pitstop_0Ax4guxe,00:00:22.888,277557,17:00:55,2,27818
89,pitstop_JMgVrqhE,00:00:29.084,277597,16:30:37,1,27821
90,pitstop_Fdj0poTx,00:00:23.336,277616,17:04:41,2,27821
91,pitstop_1FQmtEvd,00:00:24.617,277655,16:34:28,1,27823
92,pitstop_ZIVs9UWQ,00:00:24.429,277672,17:05:19,2,27823
93,pitstop_31TsGAK3,00:00:23.182,277708,16:30:10,1,27825
94,pitstop_gZSlCFJC,00:00:22.68,277720,16:51:25,2,27825
95,pitstop_J10Mf3SM,00:00:28.694,277737,17:21:08,3,27825
96,pitstop_fAQW6vpj,00:00:27.815,277765,16:34:56,1,27829
97,pitstop_ywYaYiTh,00:00:26.554,277786,17:13:32,2,27829
98,pitstop_h643ExTT,00:00:38.823,277792,17:25:07,3,27829
99,pitstop_rhmjwa8f,00:00:26.252,277812,16:34:39,1,27831
100,pitstop_7cIV1Zv0,00:00:24.416,277830,17:07:20,2,27831
101,pitstop_dd6oIqqL,00:00:25.516,277851,16:27:03,1,27833
102,pitstop_Y8hKdGZU,00:00:23.597,277887,16:34:14,1,27835
103,pitstop_hpyOA9xI,00:00:32.978,277898,16:10:04,1,27838
104,pitstop_jU5qwq52,00:00:24.502,277912,16:35:41,2,27838
105,pitstop_HVilYYid,00:00:20.878,277958,15:29:49,1,27845
106,pitstop_RZsdAbdj,00:00:20.533,277968,15:47:20,2,27845
107,pitstop_KQruuBlG,00:00:20.567,277981,16:09:38,3,27845
108,pitstop_xmAhwppc,00:00:21.995,278016,15:28:00,1,27849
109,pitstop_btH5eoEm,00:00:21.533,278033,15:57:37,2,27849
110,pitstop_vwptHUi9,00:00:23.442,278071,15:21:27,1,27853
111,pitstop_GE1g6qG6,00:00:21.132,278086,15:47:44,2,27853
112,pitstop_JpZgoJfk,00:00:21.091,278101,16:13:29,3,27853
113,pitstop_UIKwa7pm,00:00:23.779,278132,15:27:59,1,27855
114,pitstop_UGhRkdK5,00:00:20.758,278142,15:45:35,2,27855
115,pitstop_Jc9AFAif,00:00:21.237,278155,16:08:00,3,27855
116,pitstop_kQhL4p5N,00:00:20.771,278189,15:24:32,1,27859
117,pitstop_yK5MP3s9,00:00:22.005,278202,15:47:13,2,27859
118,pitstop_GODqDt6Y,00:00:20.72,278216,16:11:19,3,27859
119,pitstop_W6ohoklL,00:00:21.624,278251,15:29:47,1,27863
120,pitstop_RyucrLsF,00:00:21.168,278269,16:01:04,2,27863
121,pitstop_YTozRRgI,00:00:22.524,278311,15:31:34,1,27867
122,pitstop_UqA3ilId,00:00:21.251,278327,15:59:39,2,27867
123,pitstop_wWC4u0qQ,00:00:20.522,278364,15:21:12,1,27871
124,pitstop_1cCraxUO,00:00:21.964,278380,15:49:15,2,27871
125,pitstop_c1sFhPrK,00:00:21.4,278393,16:11:49,3,27871
126,pitstop_VfzQHmsn,00:00:21.981,278429,15:33:36,1,27874
127,pitstop_jM4YO1OQ,00:00:22.005,278449,16:08:34,2,27874
128,pitstop_qtuAuCHx,00:00:21.855,278484,15:28:17,1,27877
129,pitstop_meznYO0V,00:00:21.936,278500,15:56:28,2,27877
130,pitstop_04mAx1PX,00:00:21.989,278539,15:22:57,1,27880
131,pitstop_7HKIY4su,00:00:21.218,278560,15:59:51,2,27880
132,pitstop_7bEYvvL0,00:00:22.216,278605,15:35:28,1,27884
133,pitstop_qvwfyv6V,00:00:21.821,278617,15:56:29,2,27884
134,pitstop_eVYE4Xbu,00:00:21.709,278661,15:32:01,1,27887
135,pitstop_cSY88Xio,00:00:21.481,278680,16:05:24,2,27887
136,pitstop_pBRDkFlD,00:00:22.01,278715,15:24:56,1,27890
137,pitstop_JF8lUJP7,00:00:24.722,278719,15:32:19,2,27890
138,pitstop_ZeC2g8Nl,00:00:21.928,278736,16:02:13,3,27890
139,pitstop_sXSKez8E,00:00:20.989,278777,15:30:01,1,27894
140,pitstop_NNPQGvAI,00:00:21.058,278792,15:56:26,2,27894
141,pitstop_qJjyWvDw,00:00:28.708,278809,16:26:24,3,27894
142,pitstop_vVPXRTrM,00:00:22.485,278838,15:37:31,1,27897
143,pitstop_7j2pNBdv,00:00:21.89,278859,16:14:27,2,27897
144,pitstop_Khgpy0bB,00:00:21.473,278891,15:31:55,1,27899
145,pitstop_m3Lmfg9p,00:00:23.397,278911,16:06:55,2,27899
146,pitstop_7nc80doH,00:00:13.9,278923,16:28:01,3,27899
147,pitstop_LV9fHxW6,00:00:28.845,278925,16:31:39,4,27899
148,pitstop_lWMUvt2w,00:00:23.16,278942,15:21:35,1,27902
149,pitstop_iz1q50YE,00:00:22.062,278957,15:48:09,2,27902
150,pitstop_SPoS6jwh,00:00:27.62,278972,16:14:36,3,27902
151,pitstop_9Ar1k5BI,00:00:23.029,279009,15:39:24,1,27905
152,pitstop_A2m4n138,00:00:22.26,279031,16:18:14,2,27905
153,pitstop_CyQKfKJC,00:00:22.901,279065,15:39:50,1,27907
154,pitstop_0nXQ9mpo,00:00:22.802,279079,16:05:10,2,27907
155,pitstop_ZCEglmi4,00:00:22.683,279116,15:32:33,1,27909
156,pitstop_c9NJbcDF,00:00:21.908,279128,15:54:22,2,27909
157,pitstop_qBXt21Oz,00:00:33.827,279139,16:14:17,3,27909
158,pitstop_L7szRS7x,00:00:14.16,279164,15:20:00,1,27911
159,pitstop_jdwvBsi6,00:00:24.467,279176,15:42:05,2,27911
160,pitstop_0LjIJI1N,00:00:23.499,279200,16:25:39,3,27911
161,pitstop_V2lQaCMO,00:00:26.049,279233,15:45:28,1,27913
162,pitstop_luYkdQkF,00:00:22.419,279274,15:19:36,1,27915
163,pitstop_BR3GOiem,00:00:20.623,279288,15:20:32,1,27919
164,pitstop_B55lYjDh,00:00:20.112,279302,15:42:31,2,27919
165,pitstop_Ig6AsKwX,00:00:20.385,279317,16:05:46,3,27919
166,pitstop_UwUkYGG1,00:00:20.489,279324,16:16:40,4,27919
167,pitstop_sT1iDMqa,00:00:21.05,279348,15:19:04,1,27923
168,pitstop_8UxTswjx,00:00:20.421,279359,15:36:27,2,27923
169,pitstop_6pU6nLzm,00:00:20.843,279373,15:58:20,3,27923
170,pitstop_rLTmO3g8,00:00:22.087,279383,16:13:49,4,27923
171,pitstop_agWlU1ee,00:00:21.308,279409,15:19:05,1,27927
172,pitstop_0MRkR60n,00:00:21.732,279422,15:39:35,2,27927
173,pitstop_bYEcO8zi,00:00:21.702,279435,15:59:49,3,27927
174,pitstop_5iRyJ7tf,00:00:21.379,279445,16:15:17,4,27927
175,pitstop_f4xc6HJo,00:00:20.833,279469,15:17:38,1,27931
176,pitstop_W2GGpexp,00:00:21.075,279480,15:35:09,2,27931
177,pitstop_V4kI3hs7,00:00:35.688,279494,15:57:04,3,27931
178,pitstop_1zXCJrLu,00:00:22.041,279506,16:15:51,4,27931
179,pitstop_KjLKIVFA,00:00:22.573,279531,15:19:09,1,27935
180,pitstop_W968RzqT,00:00:20.927,279543,15:38:24,2,27935
181,pitstop_sSAQEQJR,00:00:20.949,279554,15:55:49,3,27935
182,pitstop_T9ilZPFL,00:00:20.308,279565,16:12:55,4,27935
183,pitstop_SdDkmOaG,00:00:21.368,279595,15:23:57,1,27939
184,pitstop_UzUEhzVi,00:00:22.639,279608,15:44:37,2,27939
185,pitstop_F5MKkcb2,00:00:21.417,279621,16:05:05,3,27939
186,pitstop_pK8U5i7i,00:00:22.3,279653,15:19:16,1,27943
187,pitstop_sKiSN3pu,00:00:21.919,279665,15:38:25,2,27943
188,pitstop_jZcIsAF1,00:00:20.872,279679,16:00:31,3,27943
189,pitstop_fngRBTqR,00:00:21.884,279689,16:16:10,4,27943
190,pitstop_ciGjK5yJ,00:00:21.422,279712,15:16:06,1,27947
191,pitstop_sstYEvd9,00:00:21.323,279723,15:33:42,2,27947
192,pitstop_tjNCe8jm,00:00:21.838,279738,15:57:21,3,27947
193,pitstop_PFLJjzoy,00:00:21.662,279749,16:14:37,4,27947
194,pitstop_rVPfJXTI,00:00:21.769,279774,15:17:47,1,27951
195,pitstop_MBvutEdS,00:00:22.128,279788,15:40:07,2,27951
196,pitstop_YcMuxSZz,00:00:22.032,279805,16:06:48,3,27951
197,pitstop_bAfL0ScM,00:00:21.82,279838,15:24:09,1,27954
198,pitstop_46BoTcjX,00:00:23.455,279848,15:40:15,2,27954
199,pitstop_lL5uWMs5,00:00:22.456,279863,16:03:58,3,27954
200,pitstop_uBHfnzLd,00:00:22.022,279892,15:17:37,1,27955
201,pitstop_H7plWvq9,00:00:21.322,279906,15:39:58,2,27955
202,pitstop_EI6561mb,00:00:23.471,279917,15:57:22,3,27955
203,pitstop_ZXkBNMrj,00:00:26.685,279929,16:16:13,4,27955
204,pitstop_4dzZBOrt,00:00:30.182,279945,15:06:35,1,27958
205,pitstop_FzgMu8z3,00:00:20.907,279957,15:26:02,2,27958
206,pitstop_bKCzMIlk,00:00:20.379,279973,15:51:13,3,27958
207,pitstop_J9e15Ugh,00:00:20.597,279988,16:14:46,4,27958
208,pitstop_irX628q6,00:00:21.649,280014,15:19:22,1,27962
209,pitstop_fWtog9sG,00:00:21.084,280029,15:43:21,2,27962
210,pitstop_JnmSfVVu,00:00:21.006,280044,16:07:05,3,27962
211,pitstop_SnBeR5Jm,00:00:29.27,280064,15:05:18,1,27965
212,pitstop_9dWOrjxk,00:00:22.895,280079,15:29:30,2,27965
213,pitstop_HTlh8D8v,00:00:22.365,280095,15:54:42,3,27965
214,pitstop_CVoMoJKN,00:00:21.715,280105,16:10:21,4,27965
215,pitstop_aA1Gl5oi,00:00:22.717,280132,15:19:20,1,27968
216,pitstop_gKXJkqwl,00:00:22.868,280146,15:41:43,2,27968
217,pitstop_JHdiS8n2,00:00:21.687,280162,16:07:01,3,27968
218,pitstop_B8fAmTuU,00:00:22.713,280194,15:24:25,1,27971
219,pitstop_bwYQoNN1,00:00:21.826,280210,15:49:46,2,27971
220,pitstop_ORLD1xYF,00:00:21.986,280220,16:05:31,3,27971
221,pitstop_xsvQ6mHi,00:00:21.931,280236,16:30:31,4,27971
222,pitstop_4Hwuppzh,00:00:23.881,280251,15:21:09,1,27974
223,pitstop_XoQr4QrZ,00:00:22.555,280265,15:43:41,2,27974
224,pitstop_OL5rzHn7,00:00:21.827,280281,16:09:04,3,27974
225,pitstop_UFGTAtJj,00:00:13.925,280285,16:15:30,4,27974
226,pitstop_G42gC6Cq,00:00:23.066,280312,15:24:28,1,27977
227,pitstop_qoolEf71,00:00:22.862,280324,15:43:47,2,27977
228,pitstop_I6LGVVku,00:00:22.219,280338,16:06:10,3,27977
229,pitstop_jzjvt8bQ,00:00:22.854,280372,15:27:42,1,27979
230,pitstop_MZpjBDLe,00:00:21.633,280388,15:53:27,2,27979
231,pitstop_jJIRZAQ1,00:00:23.114,280410,16:28:36,3,27979
232,pitstop_L3Qa2I3S,00:00:22.779,280430,15:29:37,1,27981
233,pitstop_FlT34lQi,00:00:24.837,280447,15:57:20,2,27981
234,pitstop_OFr5oxVz,00:00:27.353,280485,15:26:26,1,27983
235,pitstop_UnSO25QU,00:00:24.962,280498,15:47:59,2,27983
236,pitstop_g23atkbN,00:00:24.474,280516,16:17:26,3,27983
237,pitstop_6TmBpfM1,00:00:24.634,280542,15:28:03,1,27985
238,pitstop_zs1UwuPt,00:00:56.611,280543,15:30:57,2,27985
239,pitstop_0nkO44ri,00:00:25.125,280562,16:02:57,3,27985
240,pitstop_FWdgujqm,00:00:43.603,280564,16:07:22,4,27985
241,pitstop_c6ViVmt0,00:00:20.775,280592,15:21:00,1,27987
242,pitstop_k3siBzoC,00:00:20.93,280605,15:41:50,2,27987
243,pitstop_sm9kyazf,00:00:20.887,280613,15:54:38,3,27987
244,pitstop_MwqUfWVV,00:00:21.403,280625,16:13:28,4,27987
245,pitstop_WWPnyGr6,00:00:20.253,280637,14:16:54,1,27992
246,pitstop_3pjYizoi,00:00:19.887,280646,14:30:44,2,27992
247,pitstop_q2ey5eiF,00:00:20.426,280662,14:54:42,3,27992
248,pitstop_X8sTbQoj,00:00:20.292,280676,15:15:41,4,27992
249,pitstop_1wLL5HBg,00:00:19.761,280708,14:19:57,1,27996
250,pitstop_zXH8tim8,00:00:20.235,280720,14:38:08,2,27996
251,pitstop_rA3oZylN,00:00:20.473,280732,14:56:14,3,27996
252,pitstop_Yon7aj1v,00:00:20.988,280746,15:17:11,4,27996
253,pitstop_KH1dLCGC,00:00:20.015,280780,14:24:51,1,28000
254,pitstop_8iJsgPTi,00:00:20.763,280796,14:49:06,2,28000
255,pitstop_6hNJnbvj,00:00:20.107,280814,15:16:10,3,28000
256,pitstop_JPS8tVSF,00:00:20.881,280845,14:18:27,1,28004
257,pitstop_YtaM16lO,00:00:20.079,280854,14:32:16,2,28004
258,pitstop_no8AlUZp,00:00:20.279,280864,14:47:27,3,28004
259,pitstop_jOZN5Ncq,00:00:19.984,280882,15:14:50,4,28004
260,pitstop_qxLU6LeU,00:00:20.567,280914,14:18:23,1,28008
261,pitstop_pCeQwwRR,00:00:20.238,280923,14:32:13,2,28008
262,pitstop_0vBWsf6Q,00:00:20.738,280933,14:47:26,3,28008
263,pitstop_wTAYzH1R,00:00:20.38,280943,15:02:54,4,28008
264,pitstop_wsBnd28v,00:00:20.084,280982,14:18:43,1,28012
265,pitstop_mWZTEzSZ,00:00:20.487,280998,14:43:25,2,28012
266,pitstop_yHJO4qbK,00:00:20.451,281013,15:06:21,3,28012
267,pitstop_8YT5E9hD,00:00:20.647,281050,14:20:17,1,28015
268,pitstop_OKrN891h,00:00:19.534,281066,14:45:01,2,28015
269,pitstop_EPCNliEv,00:00:20.395,281081,15:07:53,3,28015
270,pitstop_ijpqXMEZ,00:00:21.322,281128,14:36:21,1,28019
271,pitstop_0FWktrY4,00:00:21.953,281143,14:59:22,2,28019
272,pitstop_Fb63fAbx,00:00:20.796,281157,15:20:32,3,28019
273,pitstop_h3EJiVxf,00:00:23.592,281179,14:14:14,1,28020
274,pitstop_Lh6ISqiA,00:00:21.143,281201,14:48:40,2,28020
275,pitstop_xY2qB5TS,00:00:21.829,281219,15:16:00,3,28020
276,pitstop_3dd2sT9Y,00:00:24.871,281240,14:05:11,1,28023
277,pitstop_GprwnMR1,00:00:21.128,281264,14:42:46,2,28023
278,pitstop_zia4g4Dv,00:00:20.5,281283,15:11:40,3,28023
279,pitstop_VxEBKJRz,00:00:21.856,281317,14:20:14,1,28026
280,pitstop_tWURq88r,00:00:24.232,281332,14:43:33,2,28026
281,pitstop_a8RiVtc6,00:00:21.739,281347,15:06:36,3,28026
282,pitstop_tgzeZDZ4,00:00:20.07,281389,14:26:40,1,28030
283,pitstop_qPVA1GKj,00:00:20.126,281406,14:53:02,2,28030
284,pitstop_YnnP22Zg,00:00:20.573,281425,15:22:03,3,28030
285,pitstop_6187Kh0V,00:00:20.773,281454,14:23:57,1,28033
286,pitstop_NSVyaOrz,00:00:20.267,281471,14:50:19,2,28033
287,pitstop_hwPGu74V,00:00:23.23,281489,15:17:54,3,28033
288,pitstop_tnHLYK5h,00:00:20.818,281517,14:17:17,1,28036
289,pitstop_icLXCdEC,00:00:24.745,281533,14:42:10,2,28036
290,pitstop_bvKTuEF3,00:00:20.819,281550,15:08:31,3,28036
291,pitstop_8eivClqw,00:00:22.689,281583,14:15:48,1,28039
292,pitstop_1XkkJtsi,00:00:24.821,281595,14:34:36,2,28039
293,pitstop_3ygzxB5o,00:00:21.574,281611,14:59:14,3,28039
294,pitstop_9vVYoiQn,00:00:22.077,281628,15:25:26,4,28039
295,pitstop_LJu5tNVe,00:00:20.741,281654,14:20:28,1,28043
296,pitstop_Y1Owpvak,00:00:20.872,281667,14:40:47,2,28043
297,pitstop_WnXDX7Rz,00:00:21.019,281679,14:59:25,3,28043
298,pitstop_vtWoAJev,00:00:23.143,281693,15:21:09,4,28043
299,pitstop_sO9XHvr5,00:00:29.936,281720,14:20:48,1,28046
300,pitstop_BzUW3J5s,00:00:21.226,281732,14:39:40,2,28046
301,pitstop_CPcfYK1o,00:00:20.65,281744,14:58:09,3,28046
302,pitstop_y0M4I6B9,00:00:20.637,281763,15:27:32,4,28046
303,pitstop_QIJYrsVi,00:00:22.364,281789,14:26:50,1,28048
304,pitstop_NKnJ89u1,00:00:21.723,281803,14:48:41,2,28048
305,pitstop_N9kdV6v8,00:00:23.001,281817,15:10:27,3,28048
306,pitstop_x4PgLJys,00:00:22.744,281855,14:29:00,1,28050
307,pitstop_Mx8mzOUF,00:00:21.632,281877,15:03:54,2,28050
308,pitstop_ourgzIog,00:00:21.17,281892,15:27:29,3,28050
309,pitstop_ZUEFuB5M,00:00:23.176,281920,14:30:41,1,28052
310,pitstop_OKgUAYlZ,00:00:22.982,281937,14:58:05,2,28052
311,pitstop_IwqsIlPA,00:00:21.708,281952,15:21:44,3,28052
312,pitstop_WvgSkQeb,00:00:24.843,281980,14:25:56,1,28054
313,pitstop_co171FMd,00:00:24.448,281994,14:48:52,2,28054
314,pitstop_4hORe8M2,00:00:24.298,282013,15:19:38,3,28054
315,pitstop_FufbpRtZ,00:00:20.8,282039,14:20:19,1,28056
316,pitstop_K9zA4XY0,00:00:21.635,282049,14:35:51,2,28056
317,pitstop_HELOhVFq,00:00:22.419,282064,14:58:48,3,28056
318,pitstop_9uqdsbBP,00:00:21.019,282105,14:28:30,1,28060
319,pitstop_CeSqfnqu,00:00:20.807,282117,14:47:28,2,28060
320,pitstop_vWC1sH0Y,00:00:23.068,282130,15:07:42,3,28060
321,pitstop_igCsgD1C,00:00:23.157,282155,14:28:55,1,28063
322,pitstop_1dU5jkDi,00:00:28.536,282184,14:24:15,1,28065
323,pitstop_CpNnBcBO,00:00:25.352,282266,14:25:41,1,28069
324,pitstop_FNGWLVop,00:00:31.382,282283,14:48:45,2,28069
325,pitstop_Q348aMit,00:00:25.28,282345,14:22:57,1,28073
326,pitstop_alczFdSX,00:00:26.421,282363,14:46:57,2,28073
327,pitstop_KdJ6gNwX,00:00:24.67,282378,15:09:55,3,28073
328,pitstop_Sj6Eu5mX,00:00:37.735,282427,14:24:32,1,28077
329,pitstop_HwPpm177,00:00:26.269,282466,15:19:56,2,28077
330,pitstop_jDyyoGj6,00:00:28.642,282526,14:49:49,1,28081
331,pitstop_mjWToD36,00:00:31.445,282594,14:33:00,1,28084
332,pitstop_McYDUlI7,00:00:19.347,282615,15:03:45,2,28084
333,pitstop_hlvu8SC6,00:00:26.977,282621,15:12:04,3,28084
334,pitstop_jIDoZBkN,00:00:25.037,282687,14:49:51,1,28088
335,pitstop_9oosEqfp,00:00:27.879,282721,15:37:52,2,28088
336,pitstop_ICNO0WWN,00:00:25.851,282765,14:48:15,1,28091
337,pitstop_1M8gDeVj,00:00:26.281,282801,15:40:13,2,28091
338,pitstop_JOai5930,00:00:25.921,282843,14:46:47,1,28094
339,pitstop_bcFsyCce,00:00:25.675,282879,15:38:54,2,28094
340,pitstop_OdUmbuJv,00:00:26.073,282923,14:48:16,1,28097
341,pitstop_L30LDTqP,00:00:25.045,282952,15:30:24,2,28097
342,pitstop_4CzQ5ZCB,00:00:25.189,282984,14:23:33,1,28100
343,pitstop_GW1PcM4B,00:00:25.31,283002,14:48:50,2,28100
344,pitstop_SWpEYWRM,00:00:25.116,283022,15:18:33,3,28100
345,pitstop_SVLLGitE,00:00:24.97,283068,14:30:24,1,28104
346,pitstop_gaIqEryL,00:00:19.36,283075,14:40:23,2,28104
347,pitstop_pQVe7FHE,00:00:47.226,283080,14:47:35,3,28104
348,pitstop_ywHxjAR2,00:00:25.595,283150,14:36:13,1,28107
349,pitstop_SiVto9e5,00:00:26.065,283172,15:09:08,2,28107
350,pitstop_e9j9zSVR,00:00:26.477,283222,14:29:21,1,28109
351,pitstop_8eQvkbkQ,00:00:25.878,283255,15:17:38,2,28109
352,pitstop_4rI5lqfZ,00:00:27.577,283313,14:49:39,1,28111
353,pitstop_KAmnVuVU,00:00:26.464,283343,15:33:21,2,28111
354,pitstop_7dcAOVPO,00:00:28.298,283388,14:49:02,1,28113
355,pitstop_mMPNsRpI,00:00:28.325,283456,14:38:46,1,28115
356,pitstop_zVFsKf8q,00:00:39.917,283464,14:51:08,2,28115
357,pitstop_154dY7Dx,00:00:26.468,283530,14:37:09,1,28117
358,pitstop_SaM8NUw6,00:00:25.687,283559,15:18:38,2,28117
359,pitstop_bQf5Rk3G,00:00:28.856,283609,14:41:17,1,28121
360,pitstop_7q3q1nbR,00:00:25.907,283679,14:43:07,1,28124
361,pitstop_tz0X7oWt,00:00:27.55,283706,15:22:30,2,28124
362,pitstop_oAtkbt3z,00:00:26.615,283743,14:38:20,1,28126
363,pitstop_xM5viKqK,00:00:35.084,283764,14:19:30,1,28130
364,pitstop_jym6w1AE,00:00:26.827,283809,14:33:33,1,28134
365,pitstop_eV7piOuV,00:00:23.65,283828,13:15:11,1,28139
366,pitstop_HxKAe3FY,00:00:14.501,283833,13:25:10,2,28139
367,pitstop_NMJhrWjk,00:00:23.868,283839,13:35:02,3,28139
368,pitstop_OPv4F98Z,00:00:23.589,283855,16:10:22,4,28139
