id,api_id,car_number,round_id,team_driver_id
109,roundentry_GsMrvwqb,6,5,75
110,roundentry_6ade96AO,16,5,8
111,roundentry_HUqlnWL0,18,5,4
112,roundentry_LAj4Dtzu,6,6,13
113,roundentry_4AJlRChz,4,6,2
114,roundentry_behFJkTn,14,6,32
115,roundentry_6r7cOg4Z,44,6,28
116,roundentry_OeXo0gw0,16,6,8
117,roundentry_M8PcMt4F,16,6,74
118,roundentry_U8IAtyqg,26,6,5
119,roundentry_gwOYPk3A,26,6,76
120,roundentry_O3rKSqx7,2,6,1
121,roundentry_8HUQ0S88,18,6,4
122,roundentry_Ykp92c5n,22,6,73
123,roundentry_cJBtyOC6,40,6,69
124,roundentry_7y76nwR4,42,6,12
125,roundentry_S7akZEVs,20,6,5
126,roundentry_wCiE7gMA,32,6,77
127,roundentry_5vcDFCaB,28,6,30
128,roundentry_Pfv2fzxZ,30,6,19
129,roundentry_8fLG8vNK,34,6,9
130,roundentry_ymov8nRE,12,6,75
131,roundentry_wpjstnm6,36,6,27
132,roundentry_0h3YqQxD,10,7,1
133,roundentry_1WYlvQhu,48,7,78
134,roundentry_rl4hh8c1,48,7,24
135,roundentry_MxCscxUP,36,7,2
136,roundentry_ciJmwb08,58,7,5
137,roundentry_gTQBy7Tf,24,7,8
138,roundentry_FK0yA0tA,38,7,18
139,roundentry_cM6o1Oad,8,7,32
140,roundentry_9o8bPNfx,50,7,16
141,roundentry_8eZQwOwN,32,7,7
142,roundentry_sCrygbLa,12,7,75
143,roundentry_yn4larjG,40,7,79
144,roundentry_CBhnjLuY,4,7,30
145,roundentry_QL8xPBZQ,60,7,13
146,roundentry_foe6gOYr,60,7,80
147,roundentry_qHlqeCIZ,56,7,73
148,roundentry_m9l1Zoo7,18,7,13
149,roundentry_wo37utz1,2,7,12
150,roundentry_dAXeUBtL,16,7,24
151,roundentry_75h9t6ug,22,7,81
152,roundentry_s3xn8S5q,64,7,82
153,roundentry_8lLul5G9,62,7,83
154,roundentry_1KSYwFdr,42,7,29
155,roundentry_niTV2KS6,6,7,19
156,roundentry_CJWM1Yj5,46,7,84
157,roundentry_7vwXNagS,44,7,28
158,roundentry_SImJeWix,30,7,15
159,roundentry_0y7tPqzo,28,7,85
160,roundentry_tKRRARMB,52,7,86
161,roundentry_CFloFn6N,24,8,87
162,roundentry_MZUpjDeZ,44,8,88
163,roundentry_Ahxpq96P,22,8,89
164,roundentry_ow9emNfs,28,8,90
165,roundentry_Z9kdRIDs,26,8,91
166,roundentry_OFQFMTs9,20,8,92
167,roundentry_YsZbXVQX,30,8,93
168,roundentry_xKFw3fBL,14,8,94
169,roundentry_hxF4xuEQ,8,8,95
170,roundentry_8WFlk02X,4,8,96
171,roundentry_V49GwhBU,38,8,97
172,roundentry_D116YmoS,32,8,98
173,roundentry_jrUdfoRo,2,8,99
174,roundentry_F8G4p2Gl,40,8,100
175,roundentry_QNOUouYs,16,8,101
176,roundentry_KZ4mPZFC,10,8,102
177,roundentry_a5nUHJa3,12,8,103
178,roundentry_JWMm7cE3,6,8,104
179,roundentry_7OG5DFAy,18,8,105
180,roundentry_N93Sx8P2,42,8,106
181,roundentry_nTAVVaDG,52,8,107
182,roundentry_GF4Osqwl,99,9,108
183,roundentry_2J4io9sM,83,9,109
184,roundentry_hmjg2A69,9,9,110
185,roundentry_9fdf5bWY,9,9,111
186,roundentry_wRByheBk,57,9,112
187,roundentry_edfqAi5u,52,9,113
188,roundentry_IMOq73iR,1,9,114
189,roundentry_966sSBaS,68,9,115
190,roundentry_vAwOOtoF,27,9,116
191,roundentry_m8RRzt0a,5,9,117
192,roundentry_DdJKkDN0,18,9,118
193,roundentry_VZlIjjee,69,9,119
194,roundentry_nBKUU1tB,25,9,120
195,roundentry_p97DzyN2,10,9,121
196,roundentry_K1Affj1P,16,9,122
197,roundentry_qhufEsq7,2,9,123
198,roundentry_0AaOGigm,76,9,124
199,roundentry_gcW6gPlo,59,9,125
200,roundentry_vi4v2FHD,73,9,126
201,roundentry_DvGL72ef,71,9,127
202,roundentry_6WUgTPqE,8,9,128
203,roundentry_cw1m5wem,3,9,129
204,roundentry_hvNlwixR,4,9,130
205,roundentry_wIVy1Hin,98,9,131
206,roundentry_xytrvFNZ,6,9,132
207,roundentry_qCuuN5Em,32,9,133
208,roundentry_NAIvI4fb,44,9,134
209,roundentry_8kmKmwfg,48,9,135
210,roundentry_uh7VPFIV,23,9,136
211,roundentry_rGn4WfD9,81,9,137
212,roundentry_Ua9qoXGd,22,9,138
213,roundentry_LzBvIlzJ,19,9,139
214,roundentry_CFZTwoSB,12,9,140
215,roundentry_kYT76iTH,26,9,141
216,roundentry_j47xNwY1,4,10,89
217,roundentry_YDywWQLu,8,10,92
218,roundentry_oVeNXng4,10,10,105
219,roundentry_hf3GsrdO,14,10,95
220,roundentry_3n6i4emd,22,10,104
221,roundentry_BKGOWhfu,24,10,142
222,roundentry_5DPYqjbm,16,10,99
223,roundentry_WlHVToYU,26,10,143
224,roundentry_Yxvw5ixn,2,10,87
225,roundentry_j0pFWhcF,18,10,144
226,roundentry_wKonmWRA,6,10,90
227,roundentry_S2XzmXtd,12,10,88
228,roundentry_He94OTcC,20,10,96
229,roundentry_x4lc1F2n,8,11,87
230,roundentry_dto1Nr4u,8,11,145
231,roundentry_EKjZYfWH,14,11,146
232,roundentry_CspDJEFx,14,11,92
233,roundentry_i5zQy9jq,10,11,105
234,roundentry_T2pwheCh,26,11,147
235,roundentry_iqlicepu,2,11,89
236,roundentry_SNRNrXcd,42,11,144
237,roundentry_xmUzcDjV,46,11,104
238,roundentry_n1lZMEKY,44,11,148
239,roundentry_locqUo7n,48,11,100
240,roundentry_8WptXsdg,6,11,90
241,roundentry_OEdzCTXa,24,11,145
242,roundentry_pCK3iOfK,24,11,87
243,roundentry_84TsB7Pg,28,11,99
244,roundentry_pMYeRCIA,40,11,95
245,roundentry_o0M4qxAE,38,11,96
246,roundentry_6Ay9H0Wq,36,11,149
247,roundentry_7jUCimSg,20,11,98
248,roundentry_5Rylm1xP,32,11,150
249,roundentry_xv19QntT,12,11,92
250,roundentry_6r3ohDOK,34,11,151
251,roundentry_xjbU5lAU,30,11,152
252,roundentry_5z7hUe6E,50,11,153
253,roundentry_WyKpX5NC,18,11,154
254,roundentry_VMsbsl1J,24,11,101
255,roundentry_BnfGQKPW,12,12,146
256,roundentry_1objhows,2,12,87
257,roundentry_PJuRLKD4,10,12,105
258,roundentry_BYRNIwqX,4,12,155
259,roundentry_w6xnlL2b,6,12,156
260,roundentry_C6LLMyEq,3,12,90
261,roundentry_zS7pBEji,7,12,157
262,roundentry_tTRGPIvt,9,12,158
263,roundentry_1CjxKlt9,14,12,101
264,roundentry_7yIY4aw7,22,12,95
265,roundentry_UPfCq40S,8,12,159
266,roundentry_jbweXmTZ,18,12,160
267,roundentry_sBsyclJB,25,12,99
268,roundentry_UiNty5RA,1,12,89
269,roundentry_lbFIOUD9,5,12,161
270,roundentry_rvZg6aLb,11,12,92
271,roundentry_ZDPspjwK,17,12,162
272,roundentry_Fe9M9CyM,15,12,163
273,roundentry_g3eioQGC,23,12,144
274,roundentry_DH5JvyNJ,16,12,164
275,roundentry_af7hRMNF,71,13,92
276,roundentry_5FudsT8Q,75,13,87
277,roundentry_xDOJJK5j,74,13,146
278,roundentry_fHSor8od,72,13,105
279,roundentry_ngBKfuqR,73,13,88
280,roundentry_gCgS3bX0,91,13,97
281,roundentry_to1CqLJv,82,13,152
282,roundentry_nvMVFeWG,84,13,95
283,roundentry_wgUWwpVd,90,13,143
284,roundentry_HI9hcIc0,93,13,165
285,roundentry_BBUg5lOA,94,13,99
286,roundentry_o9FZpfGJ,87,13,104
287,roundentry_7o9cbKLV,81,13,150
288,roundentry_ozQBTwIj,77,13,155
289,roundentry_UjUEhBk1,88,13,160
290,roundentry_nqELyogO,78,13,166
291,roundentry_Q1FYfU5G,83,13,151
292,roundentry_UR0GMKuT,76,13,89
293,roundentry_4xTYhqOz,86,13,96
294,roundentry_cztZ6lHM,85,13,144
295,roundentry_Jv59NFrA,92,13,167
296,roundentry_nFY73uCL,79,13,154
297,roundentry_zGzXf3Cn,2,14,92
298,roundentry_KewrzHAe,6,14,146
299,roundentry_CGBch8KD,40,14,155
300,roundentry_0HTTQOcb,40,14,89
301,roundentry_Exummx42,4,14,105
302,roundentry_sUlXxkEd,8,14,88
303,roundentry_NdbA1eV9,48,14,151
304,roundentry_vI6F5lWo,18,14,95
305,roundentry_b9SwyYG1,24,14,104
306,roundentry_2G9cd5tj,44,14,168
307,roundentry_WR9RCcwm,38,14,87
308,roundentry_0Mh1gxz2,50,14,150
309,roundentry_BM0Z0oqU,46,14,152
310,roundentry_TNuHIeNW,20,14,144
311,roundentry_aVfZgp7i,22,14,143
312,roundentry_sBSOvzOb,28,14,165
313,roundentry_mb5KxzCW,34,14,89
314,roundentry_Yw0pOHmE,26,14,99
315,roundentry_HXmNPvQl,36,14,91
316,roundentry_qDUwL5ku,16,14,101
317,roundentry_rS8oVJK8,12,14,169
318,roundentry_fMIAUAjL,30,14,156
319,roundentry_ItrxyOzO,32,14,170
320,roundentry_xyA3CET3,22,15,87
321,roundentry_9T2NxBzS,6,15,146
322,roundentry_flQLc88h,20,15,89
323,roundentry_mjYgbujQ,2,15,92
324,roundentry_XdQqo0fY,24,15,155
325,roundentry_Tioeyyk5,26,15,91
326,roundentry_LWOMXT8G,28,15,95
327,roundentry_hOARXQfd,34,15,96
328,roundentry_9Mr7hB8G,14,15,152
329,roundentry_S7msauKK,44,15,171
330,roundentry_Pc8X01qK,4,15,105
331,roundentry_I7TCMu3E,16,15,151
332,roundentry_dCYYDR3n,36,15,99
333,roundentry_9ritYqvD,8,15,88
334,roundentry_oIFWNCNK,12,15,150
335,roundentry_UwJOHmCx,38,15,172
336,roundentry_hUaMxUm3,32,15,104
337,roundentry_uyfpR6hf,30,15,144
338,roundentry_2w2xGgBl,18,15,173
339,roundentry_S43AvbuT,46,15,174
340,roundentry_On1QIsJG,30,16,175
341,roundentry_48x58Dd7,42,16,176
342,roundentry_u57Q5HaW,6,16,177
343,roundentry_DGUdfFcz,22,16,178
344,roundentry_VAW6KwIr,26,16,179
345,roundentry_ltumtM0w,38,16,180
346,roundentry_OTCcuoFP,44,16,181
347,roundentry_O0bjL8es,24,16,182
348,roundentry_eibvwW5c,10,16,183
349,roundentry_7R63BF5S,32,16,184
350,roundentry_OCZJafQP,32,16,185
351,roundentry_1zyrMohf,40,16,186
352,roundentry_dr5xVNuO,46,16,187
353,roundentry_NUQPZAzt,20,16,188
354,roundentry_p7imMUPZ,8,16,189
355,roundentry_ZSJt3i8Y,28,16,184
356,roundentry_UPxjhSDq,18,16,190
357,roundentry_beSN9aUT,16,16,191
358,roundentry_lKthXX5n,2,16,192
359,roundentry_kXakY71a,4,16,193
360,roundentry_gr8eBvhX,12,16,194
361,roundentry_qZnDD7ql,50,16,195
362,roundentry_EqURzg0E,98,17,196
363,roundentry_AVJUGbFx,59,17,197
364,roundentry_YFnaoTe0,18,17,198
365,roundentry_abFV57IF,1,17,199
366,roundentry_Sakny2Qo,33,17,200
367,roundentry_aFQS6uTU,77,17,201
368,roundentry_Ki0hmRaD,37,17,202
369,roundentry_mXuKQfgh,54,17,203
370,roundentry_1ujTq2D6,22,17,204
371,roundentry_yzw8Knf1,5,17,205
372,roundentry_8W1no9E0,4,17,206
373,roundentry_yzZgG7aG,29,17,207
374,roundentry_CqyIFlKd,14,17,208
375,roundentry_n6AVhEqV,7,17,209
376,roundentry_zZZs9jPT,65,17,210
377,roundentry_tIu1BYCg,81,17,211
378,roundentry_WZ6a6VQl,26,17,212
379,roundentry_DI1ZmlLv,16,17,213
380,roundentry_oBTz1hdm,2,17,214
381,roundentry_y03sTfw2,8,17,215
382,roundentry_T1UyWQQU,31,17,216
383,roundentry_zGApbxH5,48,17,217
384,roundentry_fgRZPvE8,34,17,218
385,roundentry_BdCWyIzq,27,17,219
386,roundentry_oarko4BN,36,17,220
387,roundentry_M6Io38lG,73,17,221
388,roundentry_qKRZ7uuB,28,17,222
389,roundentry_Uic7tKlR,67,17,223
390,roundentry_44UvMZXp,93,17,224
391,roundentry_cNuQhkfb,21,17,225
392,roundentry_pCpCFM22,12,17,226
393,roundentry_3yBfm8tV,55,17,227
394,roundentry_uITUnArc,9,17,228
395,roundentry_bodBZLUq,4,18,226
396,roundentry_c4L0vGy5,2,18,184
397,roundentry_h1DE56Cv,14,18,189
398,roundentry_qdE4oziM,8,18,229
399,roundentry_RAUCa1LC,28,18,230
400,roundentry_KWVhzxK5,10,18,179
401,roundentry_C2ERmzNz,34,18,231
402,roundentry_IrHs1gow,18,18,232
403,roundentry_uJaDKIpL,12,18,182
404,roundentry_EaURS8CR,20,18,183
405,roundentry_goKwNYWu,24,18,188
406,roundentry_gAInQ8Kk,30,18,233
407,roundentry_bmO8ZZDO,38,18,234
408,roundentry_rxMf2EAD,44,18,235
409,roundentry_Kd2TnCiE,42,18,236
410,roundentry_x4c7VHxH,40,18,237
411,roundentry_aSdxv9K8,6,18,175
412,roundentry_EEjX6rR8,16,18,177
413,roundentry_dSAHnNzR,36,18,178
414,roundentry_23Y3gypF,22,18,194
415,roundentry_api8xz1S,26,18,190
416,roundentry_cQbR9u8o,32,18,238
417,roundentry_f53cmXwL,8,19,226
418,roundentry_ip0DyOFz,10,19,184
419,roundentry_JKue5nZP,12,19,175
420,roundentry_znsK97HW,2,19,189
421,roundentry_xieiEwEy,44,19,239
422,roundentry_mDcqCQ6p,22,19,190
423,roundentry_Tj9TAHr6,4,19,177
424,roundentry_rMLEbcyK,28,19,240
425,roundentry_EkdnQTo5,20,19,188
426,roundentry_pQvXEiu9,24,19,241
427,roundentry_SUt3YsRN,34,19,181
428,roundentry_8QtBN1ka,34,19,176
429,roundentry_fza7Zlq2,38,19,242
430,roundentry_D6QMlJnO,6,19,243
431,roundentry_7qWbUp9G,42,19,229
432,roundentry_nO1d9coD,16,19,180
433,roundentry_d7IZg1FF,16,19,186
434,roundentry_vl2XyJdN,26,19,244
435,roundentry_f2HYB5Jr,14,19,194
436,roundentry_PUtZHJOQ,32,19,245
437,roundentry_LvvZ89Rm,18,19,186
438,roundentry_aiNlHLCp,40,19,246
439,roundentry_09EVqhVa,15,20,226
440,roundentry_ifoAjYjk,17,20,175
441,roundentry_fVkeyXZh,9,20,229
442,roundentry_3rDoM0tV,6,20,247
443,roundentry_y3vlOzMU,5,20,248
444,roundentry_k02CE04a,16,20,184
445,roundentry_ZBSN6oVP,8,20,249
446,roundentry_lDGhviuq,14,20,250
447,roundentry_bdahgOOP,4,20,251
448,roundentry_Uo3wzuCt,21,20,252
449,roundentry_AX5XeqSd,26,20,243
450,roundentry_zmjUMIt4,1,20,253
451,roundentry_ePYmDKkA,19,20,176
452,roundentry_NlwVs3HO,27,20,245
453,roundentry_nqBEo5Zf,31,20,188
454,roundentry_irpRrleB,3,20,254
455,roundentry_JQSaIXcn,33,20,186
456,roundentry_bjwgWdee,34,20,255
457,roundentry_9PQWPRlv,32,20,180
458,roundentry_YB2YoD5q,10,20,182
459,roundentry_Z8bL8Uj0,23,20,256
460,roundentry_HwMWVsTj,11,20,179
461,roundentry_UnHAjMnF,29,20,190
462,roundentry_ybZgpoWv,30,20,257
463,roundentry_E4s8SMVc,12,20,238
464,roundentry_JDSFYrGN,25,20,258
465,roundentry_47dCU1MM,28,20,236
466,roundentry_Qgsf5Jjt,7,20,259
467,roundentry_z6ZrTgSI,24,20,189
468,roundentry_L9qVAyFZ,20,20,181
469,roundentry_R3w8MMWc,35,20,260
470,roundentry_o6rdLrub,2,20,261
471,roundentry_mCofliTQ,101,21,226
472,roundentry_kmDTBRWu,102,21,184
473,roundentry_D901G9S9,117,21,176
474,roundentry_JAuHOH5C,103,21,175
475,roundentry_7hbXEt3x,108,21,177
476,roundentry_I7TuQuGT,119,21,262
477,roundentry_QdN6RACz,121,21,263
478,roundentry_Bz5FT99a,125,21,193
479,roundentry_DSA6kq0e,124,21,264
480,roundentry_xPeFDqjn,113,21,265
481,roundentry_cZ3kukoS,128,21,266
482,roundentry_vALClQxF,135,21,267
483,roundentry_AK1TwxfA,107,21,189
484,roundentry_BljgaLMu,123,21,268
485,roundentry_VbjArGR9,120,21,236
486,roundentry_KJdydT6x,126,21,269
487,roundentry_8sUsXlCc,110,21,270
488,roundentry_RA7LbUXw,130,21,271
489,roundentry_KebwujWc,116,21,260
490,roundentry_bnuzcRQ3,136,21,272
491,roundentry_fGZZsMm6,118,21,273
492,roundentry_0RBk9thi,114,21,261
493,roundentry_07dAwPVV,109,21,258
494,roundentry_WdFMTH07,127,21,274
495,roundentry_qHf2jT9g,105,21,275
496,roundentry_CGqw1Uh8,112,21,230
497,roundentry_YLn94eQN,122,21,276
498,roundentry_iz92AsmE,129,21,277
499,roundentry_KjF8Hlba,104,21,246
500,roundentry_gXdGxuox,115,21,255
501,roundentry_PM8Oupaf,2,22,226
502,roundentry_1WdKuKGh,4,22,184
503,roundentry_1owozCKn,6,22,278
504,roundentry_Pb6TpDJZ,32,22,229
505,roundentry_ddH0ekXO,10,22,189
506,roundentry_dLapnRkT,12,22,258
507,roundentry_nOKJKk58,28,22,257
508,roundentry_gHLRnSuu,26,22,188
509,roundentry_t5FCU5ad,16,22,279
510,roundentry_sTwJlH2H,16,22,280
511,roundentry_UJa8rmCT,34,22,178
512,roundentry_14ooesGK,36,22,238
513,roundentry_8dmDFjLe,30,22,281
514,roundentry_oE4rtGGn,22,22,251
515,roundentry_CT9PMTje,24,22,231
516,roundentry_k04UNvZS,14,22,282
517,roundentry_opYr0gcb,8,22,177
518,roundentry_OvkVpbk0,20,22,280
519,roundentry_e7srNeKb,18,22,255
520,roundentry_7U1wt48N,12,23,226
521,roundentry_TV04dbTJ,26,23,283
522,roundentry_cG0Znt3O,16,23,278
523,roundentry_S5I2l7mB,10,23,184
524,roundentry_ZILERYCa,22,23,275
525,roundentry_2iTv8UN5,8,23,185
526,roundentry_ZbhG0GV4,14,23,175
527,roundentry_7rRChmFO,48,23,279
528,roundentry_mvFmetw4,40,23,284
529,roundentry_pXdHucSm,62,23,194
530,roundentry_TgvlE0xI,50,23,260
531,roundentry_wD6JtBnS,30,23,247
532,roundentry_3fnXAQft,36,23,182
533,roundentry_tIiCVlrG,2,23,189
534,roundentry_9jR9NUwP,38,23,179
535,roundentry_LU6OquC5,32,23,285
536,roundentry_Ck7hDRME,46,23,255
537,roundentry_XjyNQY0v,6,23,177
538,roundentry_KxHD8AX9,42,23,229
539,roundentry_gRivXF30,24,23,286
540,roundentry_XTNg8OKQ,4,23,258
541,roundentry_LZlSlRdC,28,23,254
542,roundentry_L7UmWg3t,18,23,176
543,roundentry_81EX1ZNK,34,23,287
544,roundentry_xa6tly5f,70,23,231
545,roundentry_cWGyYnyl,58,23,288
546,roundentry_YcHPvrqx,60,23,180
547,roundentry_KaHHAQPP,54,23,190
548,roundentry_vpCQXKuG,68,23,252
549,roundentry_xDQc0SYC,56,23,236
550,roundentry_I8DrdnSJ,64,23,261
551,roundentry_ekIl8azl,52,23,188
552,roundentry_536Lyd1Z,20,23,289
553,roundentry_dm6N9jik,44,23,290
554,roundentry_6smE4dBv,66,23,245
555,roundentry_34fTuDmf,10,24,291
556,roundentry_SbrQ6CLy,14,24,292
557,roundentry_KKIZ6fmw,4,24,293
558,roundentry_gnxkO9Hq,16,24,294
559,roundentry_ItoV8Hc0,8,24,295
560,roundentry_llEkhycY,30,24,296
561,roundentry_CPKlwOSs,28,24,297
562,roundentry_B7pTlvaC,28,24,298
563,roundentry_jvY9khWT,22,24,299
564,roundentry_zb6qYGl3,20,24,300
565,roundentry_g2rioLXo,26,24,301
566,roundentry_wTbGzWvX,2,24,302
567,roundentry_TtCLVf8C,6,24,303
568,roundentry_B9q8eEhx,12,24,304
569,roundentry_f546tqNI,32,24,305
570,roundentry_XCLbc4Uq,34,24,306
571,roundentry_jvh6OqeT,24,24,307
572,roundentry_Ms09giFp,14,25,308
573,roundentry_KZivxR15,16,25,309
574,roundentry_aa8gawL3,3,25,310
575,roundentry_nf0SbeRJ,3,25,311
576,roundentry_6ciyAXGe,59,25,312
577,roundentry_G1TZYyro,59,25,313
578,roundentry_MXFpHr3Y,5,25,314
579,roundentry_O6ktMAeA,48,25,315
580,roundentry_RX7AYAyG,2,25,316
581,roundentry_fOcSKVPl,2,25,317
582,roundentry_U7OJUw4F,12,25,318
583,roundentry_A8FyvzzV,98,25,319
584,roundentry_LUmXATHn,98,25,320
585,roundentry_g22RjfBH,98,25,321
586,roundentry_EUeGlU6W,53,25,322
587,roundentry_mGFJlJUi,9,25,323
588,roundentry_l2wu1c7C,73,25,324
589,roundentry_u3QM6fmx,73,25,325
590,roundentry_TI4ewDQT,88,25,326
591,roundentry_c9xYzDrr,8,25,327
592,roundentry_uM4HMBDU,49,25,316
593,roundentry_LZIGjYkU,49,25,328
594,roundentry_Z0SXEmvw,92,25,329
595,roundentry_fE0ap7BU,92,25,330
596,roundentry_biQ0eW2g,92,25,331
597,roundentry_urDNevC3,23,25,332
598,roundentry_YPfYw3lq,23,25,333
599,roundentry_hHhJ1U4j,22,25,334
600,roundentry_MUjWgvmY,62,25,335
601,roundentry_UIJxgcyE,62,25,336
602,roundentry_lbToUJOF,62,25,337
603,roundentry_LCrq9bXs,51,25,338
604,roundentry_MYbBo7g6,83,25,339
605,roundentry_iqmSzbEk,77,25,340
606,roundentry_fevtGS2v,55,25,341
607,roundentry_az5S1Zhj,55,25,342
608,roundentry_uwWPqUm2,55,25,330
609,roundentry_Ffmfpubt,4,25,343
610,roundentry_kUJ0CELi,7,25,313
611,roundentry_EXO17UCK,21,25,344
612,roundentry_z6CStLss,38,25,345
613,roundentry_TpbDF9yH,41,25,346
614,roundentry_PKVYBOxT,97,25,320
615,roundentry_8lFhykig,99,25,347
616,roundentry_QX6cOxgg,29,25,348
617,roundentry_92ebWEjg,56,25,349
618,roundentry_rjUqqftZ,32,25,350
619,roundentry_uwHeswnC,2,26,291
620,roundentry_O7GlKExn,6,26,304
621,roundentry_GF2pnfRO,16,26,293
622,roundentry_mQs1OcAy,16,26,303
623,roundentry_ouiPe7ky,8,26,294
624,roundentry_Iocy2obe,18,26,351
625,roundentry_iTwaWhiK,24,26,298
626,roundentry_H9bghVQ7,10,26,352
627,roundentry_haYB6DSn,36,26,353
628,roundentry_AquP40Ke,34,26,354
629,roundentry_ziY0lrZf,4,26,292
630,roundentry_vyLQmsCx,28,26,355
631,roundentry_Fz9hDqZD,20,26,297
632,roundentry_lTruqbJ6,30,26,356
633,roundentry_80UZmRhu,12,26,302
634,roundentry_6KagaExc,22,26,357
635,roundentry_kqTjboNZ,14,26,293
636,roundentry_DbYBw6HU,32,26,358
637,roundentry_3W9XY2AE,26,26,359
638,roundentry_3PV76SJs,38,26,360
639,roundentry_aygmRH45,10,27,291
640,roundentry_pYV2k9aJ,8,27,292
641,roundentry_xvXNBOvc,28,27,361
642,roundentry_dCDcyKwn,30,27,351
643,roundentry_3M07EyB7,18,27,298
